-1.33	99.99
-1013.02	47775.41	
-1014.35	47800.55	
-1015.68	47825.60	
-1017.01	47850.54	
-1018.33	47875.39	
-1019.66	47900.14	
-1020.99	47924.79	
-1022.32	47949.35	
-1023.64	47973.80	
-1024.97	47998.16	
-1026.30	48022.41	
-1027.63	48046.57	
-1028.95	48070.64	
-1030.28	48094.60	
-1031.61	48118.47	
-1032.94	48142.24	
-1034.27	48165.91	
-1035.59	48189.48	
-1036.92	48212.95	
-1038.25	48236.33	
-1039.58	48259.61	
-1040.90	48282.79	
-1042.23	48305.87	
-1043.56	48328.85	
-1044.89	48351.74	
-1046.21	48374.52	
-1047.54	48397.21	
-1048.87	48419.80	
-1050.20	48442.29	
-1051.52	48464.69	
-1052.85	48486.98	
-1054.18	48509.18	
-1055.51	48531.29	
-1056.83	48553.29	
-1058.16	48575.19	
-1059.49	48597.00	
-1060.82	48618.70	
-1062.15	48640.31	
-1063.47	48661.82	
-1064.80	48683.24	
-1066.13	48704.55	
-1067.46	48725.77	
-1068.78	48746.89	
-1070.11	48767.91	
-1071.44	48788.84	
-1072.77	48809.66	
-1074.09	48830.39	
-1075.42	48851.02	
-1076.75	48871.55	
-1078.08	48891.98	
-1079.40	48912.32	
-1080.73	48932.55	
-1082.06	48952.69	
-1083.39	48972.73	
-1084.72	48992.67	
-1086.04	49012.52	
-1087.37	49032.26	
-1088.70	49051.91	
-1090.03	49071.46	
-1091.35	49090.91	
-1092.68	49110.27	
-1094.01	49129.52	
-1095.34	49148.68	
-1096.66	49167.74	
-1097.99	49186.70	
-1099.32	49205.56	
-1100.65	49224.33	
-1101.97	49243.00	
-1103.30	49261.57	
-1104.63	49280.04	
-1105.96	49298.41	
-1107.29	49316.68	
-1108.61	49334.86	
-1109.94	49352.94	
-1111.27	49370.92	
-1112.60	49388.80	
-1113.92	49406.59	
-1115.25	49424.27	
-1116.58	49441.86	
-1117.91	49459.35	
-1119.23	49476.74	
-1120.56	49494.03	
-1121.89	49511.23	
-1123.22	49528.32	
-1124.54	49545.32	
-1125.87	49562.23	
-1127.20	49579.03	
-1128.53	49595.73	
-1129.85	49612.34	
-1131.18	49628.85	
-1132.51	49645.26	
-1133.84	49661.57	
-1135.17	49677.79	
-1136.49	49693.90	
-1137.82	49709.92	
-1139.15	49725.84	
-1140.48	49741.66	
-1141.80	49757.39	
-1143.13	49773.01	
-1144.46	49788.54	
-1145.79	49803.97	
-1147.11	49819.30	
-1148.44	49834.54	
-1149.77	49849.67	
-1151.10	49864.71	
-1152.42	49879.65	
-1153.75	49894.49	
-1155.08	49909.23	
-1156.41	49923.88	
-1157.74	49938.42	
-1159.06	49952.87	
-1160.39	49967.22	
-1161.72	49981.48	
-1163.05	49995.63	
-1164.37	50009.69	
-1165.70	50023.64	
-1167.03	50037.50	
-1168.36	50051.27	
-1169.68	50064.93	
-1171.01	50078.50	
-1172.34	50091.96	
-1173.67	50105.34	
-1174.99	50118.61	
-1176.32	50131.78	
-1177.65	50144.86	
-1178.98	50157.83	
-1180.31	50170.71	
-1181.63	50183.49	
-1182.96	50196.18	
-1184.29	50208.76	
-1185.62	50221.25	
-1186.94	50233.64	
-1188.27	50245.93	
-1189.60	50258.12	
-1190.93	50270.21	
-1192.25	50282.21	
-1193.58	50294.11	
-1194.91	50305.91	
-1196.24	50317.61	
-1197.56	50329.21	
-1198.89	50340.72	
-1200.22	50352.13	
-1201.55	50363.43	
-1202.87	50374.64	
-1204.20	50385.76	
-1205.53	50396.77	
-1206.86	50407.69	
-1208.19	50418.51	
-1209.51	50429.23	
-1210.84	50439.86	
-1212.17	50450.38	
-1213.50	50460.80	
-1214.82	50471.13	
-1216.15	50481.36	
-1217.48	50491.50	
-1218.81	50501.53	
-1220.13	50511.47	
-1221.46	50521.31	
-1222.79	50531.05	
-1224.12	50540.69	
-1225.44	50550.23	
-1226.77	50559.68	
-1228.10	50569.02	
-1229.43	50578.27	
-1230.76	50587.43	
-1232.08	50596.48	
-1233.41	50605.44	
-1234.74	50614.29	
-1236.07	50623.05	
-1237.39	50631.71	
-1238.72	50640.27	
-1240.05	50648.74	
-1241.38	50657.11	
-1242.70	50665.38	
-1244.03	50673.55	
-1245.36	50681.62	
-1246.69	50689.59	
-1248.01	50697.47	
-1249.34	50705.25	
-1250.67	50712.93	
-1252.00	50720.51	
-1253.33	50727.99	
-1254.65	50735.38	
-1255.98	50742.67	
-1257.31	50749.86	
-1258.64	50756.95	
-1259.96	50763.94	
-1261.29	50770.83	
-1262.62	50777.63	
-1263.95	50784.33	
-1265.27	50790.93	
-1266.60	50797.43	
-1267.93	50803.84	
-1269.26	50810.14	
-1270.58	50816.35	
-1271.91	50822.46	
-1273.24	50828.47	
-1274.57	50834.39	
-1275.89	50840.20	
-1277.22	50845.92	
-1278.55	50851.54	
-1279.88	50857.07	
-1281.21	50862.49	
-1282.53	50867.81	
-1283.86	50873.04	
-1285.19	50878.17	
-1286.52	50883.20	
-1287.84	50888.13	
-1289.17	50892.97	
-1290.50	50897.71	
-1291.83	50902.35	
-1293.15	50906.89	
-1294.48	50911.33	
-1295.81	50915.67	
-1297.14	50919.92	
-1298.46	50924.07	
-1299.79	50928.12	
-1301.12	50932.07	
-1302.45	50935.93	
-1303.78	50939.68	
-1305.10	50943.34	
-1306.43	50946.90	
-1307.76	50950.36	
-1309.09	50953.72	
-1310.41	50956.99	
-1311.74	50960.16	
-1313.07	50963.23	
-1314.40	50966.20	
-1315.72	50969.07	
-1317.05	50971.85	
-1318.38	50974.52	
-1319.71	50977.10	
-1321.03	50979.58	
-1322.36	50981.96	
-1323.69	50984.25	
-1325.02	50986.44	
-1326.35	50988.53	
-1327.67	50990.52	
-1329.00	50992.41	
-1330.33	50994.20	
-1331.66	50995.89	
-1332.98	50997.49	
-1334.31	50998.99	
-1335.64	51000.39	
-1336.97	51001.70	
-1338.29	51002.91	
-1339.62	51004.01	
-1340.95	51005.02	
-1342.28	51005.93	
-1343.60	51006.74	
-1344.93	51007.46	
-1346.26	51008.07	
-1347.59	51008.59	
-1348.91	51009.02	
-1350.24	51009.34	
-1351.57	51009.56	
-1352.90	51009.69	
-1354.23	51009.71	
-1355.55	51009.64	
-1356.88	51009.48	
-1358.21	51009.21	
-1359.54	51008.85	
-1360.86	51008.39	
-1362.19	51007.83	
-1363.52	51007.17	
-1364.85	51006.41	
-1366.17	51005.55	
-1367.50	51004.60	
-1368.83	51003.55	
-1370.16	51002.40	
-1371.48	51001.16	
-1372.81	50999.81	
-1374.14	50998.37	
-1375.47	50996.83	
-1376.80	50995.19	
-1378.12	50993.45	
-1379.45	50991.61	
-1380.78	50989.68	
-1382.11	50987.65	
-1383.43	50985.52	
-1384.76	50983.29	
-1386.09	50980.97	
-1387.42	50978.54	
-1388.74	50976.02	
-1390.07	50973.40	
-1391.40	50970.68	
-1392.73	50967.86	
-1394.05	50964.95	
-1395.38	50961.94	
-1396.71	50958.83	
-1398.04	50955.62	
-1399.37	50952.31	
-1400.69	50948.90	
-1402.02	50945.40	
-1403.35	50941.80	
-1404.68	50938.10	
-1406.00	50934.30	
-1407.33	50930.41	
-1408.66	50926.41	
-1409.99	50922.32	
-1411.31	50918.13	
-1412.64	50913.84	
-1413.97	50909.45	
-1415.30	50904.97	
-1416.62	50900.39	
-1417.95	50895.71	
-1419.28	50890.93	
-1420.61	50886.05	
-1421.93	50881.08	
-1423.26	50876.00	
-1424.59	50870.83	
-1425.92	50865.56	
-1427.25	50860.20	
-1428.57	50854.73	
-1429.90	50849.17	
-1431.23	50843.51	
-1432.56	50837.75	
-1433.88	50831.89	
-1435.21	50825.93	
-1436.54	50819.88	
-1437.87	50813.73	
-1439.19	50807.48	
-1440.52	50801.13	
-1441.85	50794.68	
-1443.18	50788.14	
-1444.50	50781.50	
-1445.83	50774.76	
-1447.16	50767.92	
-1448.49	50760.98	
-1449.82	50753.95	
-1451.14	50746.81	
-1452.47	50739.58	
-1453.80	50732.25	
-1455.13	50724.83	
-1456.45	50717.30	
-1457.78	50709.68	
-1459.11	50701.96	
-1460.44	50694.14	
-1461.76	50686.22	
-1463.09	50678.20	
-1464.42	50670.09	
-1465.75	50661.88	
-1467.07	50653.57	
-1468.40	50645.16	
-1469.73	50636.65	
-1471.06	50628.05	
-1472.39	50619.34	
-1473.71	50610.54	
-1475.04	50601.64	
-1476.37	50592.65	
-1477.70	50583.55	
-1479.02	50574.36	
-1480.35	50565.07	
-1481.68	50555.68	
-1483.01	50546.19	
-1484.33	50536.61	
-1485.66	50526.92	
-1486.99	50517.14	
-1488.32	50507.26	
-1489.64	50497.29	
-1490.97	50487.21	
-1492.30	50477.04	
-1493.63	50466.76	
-1494.95	50456.39	
-1496.28	50445.92	
-1497.61	50435.36	
-1498.94	50424.69	
-1500.27	50413.93	
-1501.59	50403.07	
-1502.92	50392.11	
-1504.25	50381.05	
-1505.58	50369.90	
-1506.90	50358.64	
-1508.23	50347.29	
-1509.56	50335.84	
-1510.89	50324.30	
-1512.21	50312.65	
-1513.54	50300.91	
-1514.87	50289.07	
-1516.20	50277.13	
-1517.52	50265.09	
-1518.85	50252.95	
-1520.18	50240.72	
-1521.51	50228.39	
-1522.84	50215.96	
-1524.16	50203.43	
-1525.49	50190.80	
-1526.82	50178.08	
-1528.15	50165.26	
-1529.47	50152.34	
-1530.80	50139.32	
-1532.13	50126.20	
-1533.46	50112.98	
-1534.78	50099.67	
-1536.11	50086.26	
-1537.44	50072.75	
-1538.77	50059.14	
-1540.09	50045.44	
-1541.42	50031.63	
-1542.75	50017.73	
-1544.08	50003.73	
-1545.41	49989.63	
-1546.73	49975.44	
-1548.06	49961.14	
-1549.39	49946.75	
-1550.72	49932.26	
-1552.04	49917.67	
-1553.37	49902.98	
-1554.70	49888.20	
-1556.03	49873.32	
-1557.35	49858.34	
-1558.68	49843.26	
-1560.01	49828.08	
-1561.34	49812.81	
-1562.66	49797.43	
-1563.99	49781.96	
-1565.32	49766.39	
-1566.65	49750.72	
-1567.97	49734.96	
-1569.30	49719.09	
-1570.63	49703.13	
-1571.96	49687.07	
-1573.29	49670.92	
-1574.61	49654.66	
-1575.94	49638.30	
-1577.27	49621.85	
-1578.60	49605.30	
-1579.92	49588.65	
-1581.25	49571.91	
-1582.58	49555.06	
-1583.91	49538.12	
-1585.23	49521.08	
-1586.56	49503.94	
-1587.89	49486.70	
-1589.22	49469.37	
-1590.54	49451.93	
-1591.87	49434.40	
-1593.20	49416.77	
-1594.53	49399.05	
-1595.86	49381.22	
-1597.18	49363.30	
-1598.51	49345.28	
-1599.84	49327.16	
-1601.17	49308.94	
-1602.49	49290.62	
-1603.82	49272.21	
-1605.15	49253.70	
-1606.48	49235.09	
-1607.80	49216.38	
-1609.13	49197.57	
-1610.46	49178.66	
-1611.79	49159.66	
-1613.11	49140.56	
-1614.44	49121.36	
-1615.77	49102.06	
-1617.10	49082.67	
-1618.43	49063.18	
-1619.75	49043.59	
-1621.08	49023.89	
-1622.41	49004.11	
-1623.74	48984.22	
-1625.06	48964.23	
-1626.39	48944.15	
-1627.72	48923.97	
-1629.05	48903.70	
-1630.37	48883.32	
